,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
10,1.7388579,2.9949,1.2543,0.9633543427,0.01214004037,-0.8394189643,6.450997554,30.28159836,0.2580324329,0.8394297126,-0.3138071562,-0.01968654087,0.2898158127,0.5673650304,0.7602265147,-0.3498131686,2.776135879,0.03403003793,1.303701765,1.761768807,12.86918773,0.9981451395,-0.5912339119,36.30972237,18.20286822,24.22785702,29.97026321,22.85745219,3.472893527,38.11416235,38.11416231,13.16828595,42.49838289,31.8112516,29.9702632,13.06625202,0.2995814105,24.71214214,18.50635344,6.722003415,12.98320247,30.04103446,18.83082715,8.418317074,13.09758709,23.16042636,0.2618543965,35.43890924,44.44382771,1.159068017,29.93326142,18.77730772,0.25456629,24.21774843,6.447234573,29.67401626,13.39578442,11.232928,-0.0002807155262,17.55478416,18.87531009,6.173024222,-17.4673923,7.354583696,36.11898886,18.09284885,18.04415596,2.742738785,-0.01323050532,1.040148904,7.105215021,18.79841871,-0.8393781382,6.544086828,18.20268582,1.180618964,30.33427407,-5.969097995,17.88350946,12.78805636,6.631530556,-0.02198133231,6.424102516,6.987608404,-0.9505337103,17.0265715,42.49838288,18.73962921,44.4438277,6.322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,0,0,0,-0.3199326536,-0.5923139359,-1.103554137,-1.696390883,0,-0.617386808,-0.354217658,-1.490080061,-0.01968654087,-1.29675374,-0.5673650309,0,-1.405200546,-11.16410087,-0.9900044567,0,0,0,-0.07013270685,-1.601775023,-6.188660527,0,0,0,-5.86772206,-0.1411630878,0,0,0,0,0,0,0,-0.002687970747,0,0,0,0,0,0,0,0,0,-1.421241129,0,0,-7.409473324,0,0,-0.0363338081,0,0,0,0,0,-2.233880195,0,0,0,-18.33493262,0,0,0,0,-0.1109974103,-0.3007462382,-0.6738621443,0,0,-0.8393781382,0,0,-0.4123695213,0,-13.26766931,0,0,-0.9023739407,-0.296623147,0,0,-3.619259223,0,0,0,0,0
max,1.794734,3.3043,1.3387,1.806624006,0.5485542908,0,6.450997554,30.28159836,0.8746233276,0.8394297126,0,1.502941338,0.2898158127,29.29280215,1.922199107,1.112980755,2.776135879,1.491631576,6.696184093,1.761768807,13.5323765,3.108195445,0.01253368551,36.30972237,24.31126484,42.49838289,41.90778438,23.99685193,3.472893527,57.32772572,57.32772564,13.63763816,42.49838289,57.32772571,41.90778439,13.06625202,1.14922298,36.672071,18.98876773,13.079805,24.51966244,30.04103446,36.64173648,8.418317074,30.4124633,23.84050598,0.624800049,36.15932457,57.32772573,6.875138526,41.86796571,18.77730772,0.8184344453,24.21774843,7.578806129,41.86796571,13.39578442,17.80078405,0,29.82885879,30.48917918,7.717132098,0,13.32103071,36.15932457,24.52684616,41.90778439,2.742738785,0.8720291977,7.512817563,12.73861966,30.4124633,0.2680905486,7.963296974,18.20268582,1.180618964,36.532988,0,18.74821622,12.78805636,6.631530556,0.826826249,7.029097233,7.973271029,0.1606543824,19.24785893,42.49838288,30.51579655,57.32772571,6.328
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,15.0446334,51.91782206,100,20.82128398,0,41.37953176,29.67523464,100,1.292931854,81.73317948,1.900073189,0,55.80219921,80.08544669,39.89321736,0,0,0,2.206591123,99.22358806,14.56210826,0,0,0,19.64776749,3.905945668,0,0,0,0,0,0,0,0.2333488318,0,0,0,0,0,0,0,0,0,69.46297779,0,0,51.87031613,0,0,4.250720351,0,0,0,0,0,100,0,0,0,100,0,0,0,0,3.889546991,25.64397488,8.231202006,0,0,75.79249402,0,0,25.88653497,0,100,0,0,11.97750703,26.40289345,0,0,95.74978692,0,0,0,0,0
2,29.78534423,28.19961868,27.25778741,62.12761423,99.0652547,73.50882875,34.22559236,38.4428038,0,75.12526122,61.20015572,36.82480303,98.17292451,42.05083799,41.44946157,43.14193618,79.83119622,27.49079944,5.186262803,14.7534851,41.06479751,0,0,0,24.14496954,6.25E-16,14.39134492,0,0,22.47411326,11.33665898,40.70297835,14.56210825,77.52588678,28.51612976,43.11179695,24.00117462,16.45536121,59.54786704,41.78319984,23.34459935,57.56852506,16.50507074,65.13703208,20.12471764,1.32E-15,38.76782182,16.67329808,11.33665896,48.49890143,14.43099456,60.27844364,66.406636,27.74655,69.75853831,14.39816609,41.51295471,67.46331758,80.70647657,19.66891178,19.817485,76.21984901,38.24779441,54.36518369,33.01053336,46.04620816,14.39134492,0,72.52181141,22.09776964,42.90696188,21.88661605,72.73211604,66.32539235,31.41387006,43.01221141,16.50616128,54.74914003,30.48688072,43.52789371,10.51813859,47.63762199,86.96851722,72.46433861,84.42767953,29.63608828,14.56210825,19.24059591,11.33665896,95.03792668
