,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
filename,overall adjusted,overall,1572060014612,1572060031533,1572060032111,1572060041228,1572060067253,1572060071657,1572060084143,1572060088657,1572060112059,1572060115709,1572060123913,1572060131524,1572060151445,1572060161540,1572060166524,1572060170316,1572060184421,1572060188663,1572060195702,1572060198371,1572060205365,1572060218972,1572060219488,1572060227719,1572060234124,1572060238201,1572060241942,1572060244758,1572060251659,1572060258585,1572060262581,1572060265128,1572060269506,1572060273490,1572060275460,1572060303371,1572060311569,1572060320511,1572060323393,1572060347383,1572060421488,1572060432206,1572060436742,1572060438393,1572060443137,1572060476491,1572060489029,1572060493938,1572060499658,1572060505857,1572060515539,1572060543253,1572060572567,1572060585339,1572060590726,1572060663551,1572060674939,1572060688348,1572060712571,1572060724574,1572060737458,1572060740325,1572060785412,1572060805754,1572060886262,1572060897338,1572060981749,1572061178219,1572061228086,1572061269156,1572061338021,1572061498730,1572062017620,1572062553229,1572062655316,1572063064899,1572063333288,1572063854095
MTurkID,,,A36P1ZQ0GYF567,A1D6CUN4HL57KY,A35J0Z5315SEBK,A18WFPSLFV4FKY,A2UTHXLZL8TNBK,A247ELKNN5MJFJ,A1G1OO4IWM8EP5,AG3ISFZMFGDQ9,A3BJZIRRQVSOT7,A2SL8R5B6QX4Q0,A1FYFBIFYWTMJS,A2XLD73DLFU01Q,A238OD6LO49BQB,AFG6PM2TIT1EN,A1WZNG57DMX55Z,A1WCERM9B49HOT,A4LIJVRU6DG61,A1V4BLIC5U5HPX,A21U899S9P4XSC,A1RWXE4FE0N6SS,A2H11PFO6KPPPV,AL4A0AKTQGE4A,A5X1KZ9CCHREK,A1GKD3NG1NNHRP,A2ZSQLANLQ7OC6,A37ASLK3V0A9QU,A3774HPOUKYTX7,A3KB2DY7SADI3Z,A1A3S0HSZZGZ43,A3ER6R66WYYS9R,A13QHXMU0OMNAY,A38CJGMJRTWE87,A37J4P6DFUQ2EV,A2ELH6CUC5Y8J4,A2JSIDRTDGDC7T,AHUGUDOPVRY7W,A3HQ79XXFXL57N,A1TJPHC41OTJ1T,A1QBNMJNG3NYYY,ABVPW8753ZBJO,AF18OIZ0GWGP2,AD6AOGBAJ8LV4,A136K9Y7E4C3G,A20SYRT4FRY8HF,A1MHQSP1POQNXX,AZFHBOI9IHMK4,A17MKHO0INIV0D,AR8MBYZTSVNDR,A2WT7RE3TSKGZR,A3VWU0WEB2VD48,A119XB4OETWU59,AEY67OL8UKB,A2RGDYBSWA09Q,A1L1S0IAPZB4MO,A1XLQVD1R2V8CL,A2KJHQCS6HAV7B,A13LKWKNDRONU7,A3PIJN4LHKKNPH,A7PG82BD02RAG,A18N52TC9HMDSZ,A3SLY0SJLJZ0J1,A3PXCRGJZE1QC3,A3FL2QW4MDY1EP,A8WLCSZLNZ8BL,AYYSG3O9FNU15,AFRSASN33QBC3,A3W1M37EJKYIZI,A11Q8U6QTT8KGF,A3IX3XVGPJH2I7,AA9SBG7LNCG8Q,A9EVF0SO2IUJ0,A8EEMNO76XFSQ,A3FI3B2Y2R278B,A1O4RSKKMOBB4U,A159LFRJ2JUSHD,AC8ETQXPDRR6P,ASVP3M0AQ1HG4,AAA9J279EF3M1
9,0.1746435,0.15336937,-11.9678839,-1.228066032,0.8313089524,-0.004462294308,7.220313117,1.151050909,-11.63124749,-6.302910723,-0.6262547656,-6.294777506,12.19394944,-7.650383566,-18.92735362,-5.849525694,-6.302910723,1.67679206,-18.90059895,-18.90059895,25.51647409,25.51647413,-6.329665395,11.09927049,6.151142891,-1.234366661,-12.18048928,0.1027122522,0.3644871216,-1.123644936,17.0265715,-25.23026434,25.51647413,-23.79914899,5.785595529,3.01E-16,0.9891491315,-5.796461865,6.71006459,0.2512038341,25.51647409,0.8431920285,6.384849224,-6.068893664,18.07268876,-0.959530686,-18.20781352,-12.59768823,0.2627633414,7.004922243,5.849525695,-25.23026434,-6.604908433,-6.015898965,19.01742534,-0.9053707654,10.98419352,-5.694921339,-0.003816506304,18.65590746,17.75001378,5.980876976,-0.6862623313,11.30844698,5.632251763,0.002391641913,-7.27E-16,-6.302910723,24.44699066,-11.98430108,25.51647413,6.069405423,5.988239644,0.9915923114,30.61009187,-24.08373572,5.99435876,12.88389798,18.9610486,44.44382774
10,-0.59709955,-0.54881931,-24.22785701,-1.564693911,6.800569169,0.3494707569,-5.855413784,-0.01458216189,-30.59229608,-38.11416228,-1.51898007,-31.81125158,-29.67401626,-1.25441818,-37.94477899,-17.73931198,-12.59768823,0.4829227686,6.329665395,12.71451462,-25.31220288,-12.59768823,-12.71451465,-1.895302777,-7.153965777,-1.269815626,-12.83312158,-18.63691696,-6.003484997,-1.03917567,5.730849755,-18.92735362,57.32772573,-24.51956432,-6.593743926,-11.88978628,0.6904972852,0.638548959,-0.388852055,-0.2697479506,-12.59768823,7.722039587,-18.92735362,-0.6253375093,-18.64969899,-2.428576555,-6.227557073,-38.11416228,-0.307377502,0.535836707,-18.04177187,-12.59768823,-6.165275758,-12.75221326,-12.59768823,-0.5155163279,-1.075835153,-8.023688414,1.337051131,-11.9816418,-0.4056910033,-5.839384705,-1.474112885,-6.150413219,-1.315711488,-0.8415539343,-11.92610725,-25.23026434,18.57920925,-23.9830749,-31.81125159,-30.24031693,11.85506969,0.3335230804,18.4879197,-5.832196534,-1.378750493,-37.94477899,6.508046075,18.92735361
G,44.83,46.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p,0.1484,0.1128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,-0.97140802,-0.86739793,-24.22785701,-7.737682997,-5.854739577,-1.243801133,-17.48666127,-1.361808496,-30.59229608,-38.11416228,-1.51898007,-31.81125158,-29.67401626,-7.650383566,-44.44382775,-29.93326142,-38.11416231,-1.394870534,-38.11416235,-38.11416235,-31.81125163,-31.81125155,-19.21356341,-1.895302777,-12.70253646,-13.07018585,-18.87531009,-18.63691696,-6.003484997,-6.98620553,-2.221287428,-44.44382766,0,-36.64173649,-12.55288797,-29.67401626,-0.4048013026,-28.76393654,-1.359245631,-0.5414246458,-31.81125163,0,-44.44382772,-11.47867653,-18.64969899,-7.959472335,-36.48117712,-38.11416228,-0.307377502,-11.87887959,-24.08373572,-38.11416232,-7.193465118,-24.71214213,-31.8112516,-0.9053707654,-1.075887967,-8.023688414,-0.6258416637,-18.01616355,-0.7789189324,-23.63298176,-6.77827835,-12.97314115,-12.60734257,-0.8415539343,-23.86362843,-38.11416228,-6.042188509,-36.24114085,-31.81125159,-30.24031693,-12.8425875,-0.3753062533,-6.031644619,-24.08373572,-2.262324018,-44.44382775,-11.63124749,-12.88389798
max,0.34287623,0.3209388,18.27052588,0,12.36453374,0.3494707569,13.10563481,1.151050909,0,19.21356332,5.847800465,25.51647407,12.19394944,0,12.88389798,11.93470429,19.21356333,1.67679206,19.21356337,19.21356332,25.51647409,25.51647413,38.11416235,11.09927049,6.151142891,17.52211023,11.61386908,11.87887959,1.605942397,17.45111663,17.0265715,12.88389793,57.32772573,0,11.49970379,12.19394944,2.02198635,1.277097918,6.71006459,0.2743764703,25.51647409,7.722039587,12.88389793,0.3329499612,24.26199077,5.460359751,6.430512638,19.21356332,0.5425049414,18.63691696,17.78422998,19.21356337,5.800773622,11.95992887,25.51647405,0.9856011474,10.98419352,11.29523259,1.337051131,18.65590746,17.75001378,12.90000624,0.3712337312,11.30844698,5.632251763,0.2718658205,18.04415596,19.21356332,24.44699066,6.257242052,25.51647413,12.25806595,23.79914898,6.458451912,30.61009187,17.78422998,5.99435876,12.88389798,18.9610486,44.44382774
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,73.91156213,72.99260455,57.00889155,100,32.1348688,78.06584305,57.16034267,54.19358096,100,66.48469284,20.61932024,55.49016854,70.87522826,100,77.52588679,71.49442518,66.48469285,45.41092946,66.48469282,66.48469289,55.49016855,55.49016845,33.51530722,14.58534065,67.37431046,42.72378188,61.90822647,61.07301485,78.89535817,28.58826137,11.54043905,77.52588683,0,100,52.18933617,70.87522826,16.68054072,95.74882177,16.84463223,66.36723524,55.49016855,0,77.52588685,97.18116754,43.46064929,59.31126622,85.01454342,66.48469284,36.16706103,38.92698516,57.52306165,66.48469281,55.35888067,67.38681906,55.49016857,47.87859403,8.921067144,41.53279789,31.88363957,49.1277505,4.20379816,64.68943017,94.80756551,53.42789391,69.12073998,75.58280969,56.94318796,66.48469284,19.817485,85.2765173,55.49016848,71.15639439,35.049069,5.491945197,16.46113202,57.52306165,27.39991445,77.52588679,38.02018474,22.47411321
